Section Number,Name,Description,Offence,Punishment,Cognizable,Bailable,Court Level
38,When right of private defence extends to causing death,Defines when self-defence can extend to causing an assailantâ€™s death.,Homicide in self-defence,Not punishable,No,No,Court decision
39,When right of private defence extends to causing harm other than death,"Defines cases where only harm, not death, is justifiable in self-defence.",Assault defence,Not punishable,No,No,Court decision
40,Commencement and continuance of right of private defence of body,Self-defence begins when an imminent threat arises.,Not applicable,Not applicable,No,No,Not applicable
41,When right of private defence of property extends to causing death,Defines circumstances where lethal force can be used to protect property.,Defence of property,Not punishable,No,No,Court decision
42,When right of private defence of property extends to causing harm other than death,Use of force for property defence should be proportional.,Defence of property,Not punishable,No,No,Court decision
43,Commencement and continuance of right of private defence of property,Right of property defence continues until the threat is removed.,Not applicable,Not applicable,No,No,Not applicable
44,Right of private defence against deadly assault when there is risk to an innocent person,A person may defend themselves even if an innocent person might be harmed.,Self-defence,Not punishable,No,No,Court decision
45,Abetment of an offence,"Defines what constitutes abetment, including instigation and aiding.",Abetment,Same punishment as the offence,Depends on offence,Depends on offence,Depends on offence
46,Abettor,Defines an abettor as someone who instigates or aids an offence.,Abetment,Same punishment as the offence,Depends on offence,Depends on offence,Depends on offence
47,Abetment in India of offences outside India,A person abetting an offence outside India can be held liable in India.,Cross-border abetment,Same punishment as the offence,Depends on offence,Depends on offence,Depends on offence
48,Abetment outside India for offence in India,A person abetting an offence from outside India is liable under Indian law.,Cross-border abetment,Same punishment as the offence,Depends on offence,Depends on offence,Depends on offence
49,Punishment of abetment if act abetted is committed,"If the abetted offence is committed, the abettor gets the same punishment.",Abetment,Same punishment as the offence,Depends on offence,Depends on offence,Depends on offence
50,Punishment of abetment if act abetted is not committed,"If the offence is not committed, the abettor gets a lesser punishment.",Attempted abetment,Up to half the punishment,Depends on offence,Depends on offence,Depends on offence
51,Liability of abettor when one act is abetted but a different act is committed,"If an act other than the abetted one is committed, the abettor is still liable if it was a probable consequence.",Abetment,Same punishment as offence committed,Depends on offence,Depends on offence,Depends on offence
52,Abettor when liable to cumulative punishment for act abetted and act done,An abettor can be punished separately for abetting an act and for another offence committed during it.,Abetment,Punishment for both offences,Depends on offence,Depends on offence,Depends on offence
53,Liability of abettor for effect caused by act abetted different from that intended,An abettor is liable for consequences of the act abetted even if they differ from the intended effect.,Abetment,Same punishment as offence committed,Depends on offence,Depends on offence,Depends on offence
54,Abettor present when offence is committed,An abettor physically present during the offence is deemed to have committed the offence.,Abetment,Same punishment as the offence,Depends on offence,Depends on offence,Depends on offence
55,Abetment of offence punishable with death or life imprisonment,"If the abetted offence is punishable by death or life imprisonment, the abettor can receive up to 7 years imprisonment.",Abetment of serious offence,Up to 7 years imprisonment,Depends on offence,Depends on offence,Depends on offence
56,Abetment of offence punishable with imprisonment,"If the abetted offence carries imprisonment, the abettor can receive up to one-fourth of the maximum term.",Abetment of offence,Up to one-fourth of max term,Depends on offence,Depends on offence,Depends on offence
57,Abetment by public instigation,Publicly instigating a crime is punishable.,Public incitement,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
58,Concealing a design to commit an offence,Hiding knowledge of a planned crime is punishable.,Concealment of crime,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
59,Punishment for attempting to commit offences,"Defines punishments for attempting crimes, even if unsuccessful.",Attempt to commit crime,Up to half the punishment for the offence,Depends on offence,Depends on offence,Depends on offence
60,Criminal conspiracy,Defines criminal conspiracy and its punishments.,Criminal conspiracy,Same punishment as offence conspired,Depends on offence,Depends on offence,Depends on offence
61,When agreement to commit offence amounts to conspiracy,"If two or more people agree to commit an offence, it is considered a conspiracy.",Criminal conspiracy,Same punishment as offence conspired,Depends on offence,Depends on offence,Depends on offence
62,Punishment for conspiracy,Punishment for conspiracy varies based on the severity of the crime planned.,Criminal conspiracy,Same punishment as offence conspired,Depends on offence,Depends on offence,Depends on offence
63,Attempt to commit an offence,Defines an attempt as an act done with intent to commit a crime but failing.,Attempt to commit crime,Up to half the punishment for the offence,Depends on offence,Depends on offence,Depends on offence
64,Punishment for attempt,Attempting an offence is punishable even if the crime is not completed.,Attempt to commit crime,Punishment up to half of actual crime,Depends on offence,Depends on offence,Depends on offence
65,General explanation for attempts,Clarifies that an attempt must involve direct action towards committing the crime.,Not applicable,Not applicable,No,No,Not applicable
66,Acts amounting to attempts,Lists specific actions that are legally considered attempts to commit a crime.,Attempt to commit crime,Punishable as per offence,Depends on offence,Depends on offence,Depends on offence
67,Acts done to facilitate crime,Helping someone commit an offence is punishable.,Aiding crime,Same punishment as the offence,Depends on offence,Depends on offence,Depends on offence
68,Possession of tools for crime,Possessing tools specifically for committing a crime is punishable.,Possession of crime tools,Up to 3 years imprisonment,Yes,No,Magistrate Court
69,Concealing existence of a design to commit an offence,Hiding knowledge of planned crimes is punishable.,Concealment of crime,Up to 7 years imprisonment,Yes,No,Sessions Court
70,Failure to report planned crimes,Failure to inform authorities about a known planned crime is punishable.,Failure to report crime,Up to 3 years imprisonment,Yes,No,Magistrate Court
71,Negligent acts likely to spread infection,Punishes those whose negligence leads to the spread of infectious diseases.,Negligence in infection control,Up to 2 years imprisonment or fine,Yes,No,Magistrate Court
72,Disobedience to quarantine rules,Punishes individuals who break quarantine laws during a public health crisis.,Violation of quarantine,Up to 6 months imprisonment or fine,Yes,No,Magistrate Court
73,Making false statements in public,Punishes individuals who spread false information in public forums.,Public misinformation,Up to 3 years imprisonment,Yes,No,Magistrate Court
74,Causing disturbance in public places,Punishes acts that disturb public order and safety.,Public disturbance,Up to 1 year imprisonment or fine,Yes,Yes,Magistrate Court
75,Obstructing public servants in duty,Punishes those who interfere with government officials performing their duties.,Obstruction of public servant,Up to 2 years imprisonment or fine,Yes,No,Magistrate Court
76,Refusal to sign statements or documents,Punishes individuals who refuse to sign legal documents when required.,Refusal to sign documents,Fine only,No,Yes,Magistrate Court
77,Defiling places of worship,Punishes individuals who intentionally harm or desecrate religious sites.,Desecration of worship places,Up to 3 years imprisonment,Yes,No,Sessions Court
78,Indecent acts in public places,Punishes acts of indecency committed in public areas.,Public indecency,Up to 6 months imprisonment or fine,Yes,Yes,Magistrate Court
79,Falsification of official documents,Punishes those who forge or falsify government documents.,Forgery of documents,Up to 7 years imprisonment,Yes,No,Sessions Court
80,Tampering with public records,Punishes individuals who alter or destroy government records.,Tampering with public records,Up to 5 years imprisonment,Yes,No,Sessions Court
81,Theft,Defines theft and its associated punishments.,Theft,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
82,Extortion,Defines extortion and prescribes punishments.,Extortion,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
83,Robbery,Defines robbery and prescribes punishments.,Robbery,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
84,Dacoity,Defines dacoity as robbery committed by five or more persons.,Dacoity,Minimum 10 years imprisonment,Yes,No,Sessions Court
85,Receiving stolen property,Punishes individuals who knowingly receive stolen goods.,Possession of stolen goods,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
86,Cheating,Defines cheating and prescribes punishments.,Cheating,Up to 7 years imprisonment or fine,Yes,Yes,Magistrate Court
87,Counterfeiting currency,Punishes those who produce fake currency.,Counterfeiting,Up to life imprisonment and fine,Yes,No,Sessions Court
88,Forgery,Defines forgery and its associated punishments.,Forgery,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
89,Using forged documents,Punishes individuals who use forged documents knowingly.,Use of forged documents,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
90,Criminal breach of trust,Punishes individuals who misuse entrusted property.,Breach of trust,Up to 7 years imprisonment or fine,Yes,No,Sessions Court
91,Mischief,Punishes acts intended to cause damage or loss.,Mischief,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
92,Trespassing,Punishes unlawful entry into private property.,Trespass,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
93,Defamation,Punishes individuals who harm another personâ€™s reputation through false statements.,Defamation,Up to 2 years imprisonment or fine,No,Yes,Magistrate Court
94,Attempt to commit offences,Punishes individuals who attempt but fail to commit a crime.,Attempt to commit crime,Up to half of the punishment for the offence,Depends on offence,Depends on offence,Depends on offence
95,Criminal intimidation,Punishes threats meant to cause fear of harm.,Criminal intimidation,Up to 7 years imprisonment or fine,Yes,Yes,Magistrate Court
96,Insult with intent to provoke breach of peace,Punishes insults that may incite violence.,Provocative insults,Up to 2 years imprisonment or fine,Yes,Yes,Magistrate Court
97,Obscene acts and songs,"Punishes obscene gestures, words, or songs.",Obscene acts,Up to 3 months imprisonment or fine,Yes,Yes,Magistrate Court
98,Adultery,Defines adultery and its punishments.,Adultery,Up to 5 years imprisonment or fine,No,Yes,Magistrate Court
99,Bigamy,Punishes individuals who marry while already married.,Bigamy,Up to 7 years imprisonment or fine,Yes,No,Sessions Court
100,Cruelty by husband or relatives,Punishes cruelty towards a woman by her husband or in-laws.,Domestic cruelty,Up to 3 years imprisonment and fine,Yes,No,Magistrate Court
101,Causing miscarriage without consent,Punishes individuals who cause a miscarriage without the womanâ€™s consent.,Illegal miscarriage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
102,Causing miscarriage with consent,"Punishes individuals who cause a miscarriage even with the womanâ€™s consent, except for medical necessity.",Illegal miscarriage,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
103,Abandoning a child,Punishes individuals who abandon a child under 12 years of age.,Child abandonment,Up to 7 years imprisonment or fine,Yes,No,Sessions Court
104,Kidnapping,Defines kidnapping and prescribes punishments.,Kidnapping,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
105,Abduction,Defines abduction and prescribes punishments.,Abduction,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
106,Rape,Defines rape and prescribes punishments.,Rape,Minimum 10 years to life imprisonment,Yes,No,Sessions Court
107,Sexual harassment,Punishes acts of sexual harassment.,Sexual harassment,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
108,Voyeurism,"Punishes acts of voyeurism, such as capturing private images without consent.",Voyeurism,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
109,Stalking,"Punishes repeated following, monitoring, or contacting a person despite their objection.",Stalking,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
110,Human trafficking,Defines human trafficking and prescribes punishments.,Human trafficking,Minimum 10 years imprisonment and fine,Yes,No,Sessions Court
111,Unnatural offences,Punishes acts of unnatural offences.,Unnatural offences,Up to life imprisonment,Yes,No,Sessions Court
112,Attempt to commit rape,Punishes attempts to commit rape.,Attempted rape,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
113,Hurt,Defines hurt and prescribes punishments.,Causing hurt,Up to 1 year imprisonment or fine,Yes,Yes,Magistrate Court
114,Grievous hurt,Defines grievous hurt and prescribes punishments.,Causing grievous hurt,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
115,Acid attack,Punishes individuals who attack others with acid.,Acid attack,Minimum 10 years imprisonment and fine,Yes,No,Sessions Court
116,Attempt to acid attack,Punishes individuals who attempt to commit an acid attack.,Attempted acid attack,Minimum 5 years imprisonment and fine,Yes,No,Sessions Court
117,Criminal force,Punishes individuals who use force to intimidate or overpower others.,Use of criminal force,Up to 3 months imprisonment or fine,Yes,Yes,Magistrate Court
118,Wrongful restraint,Punishes individuals who wrongfully restrain others from moving freely.,Wrongful restraint,Up to 1 month imprisonment or fine,Yes,Yes,Magistrate Court
119,Wrongful confinement,Punishes individuals who confine others unlawfully.,Wrongful confinement,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
120,Assault,Defines assault and prescribes punishments.,Assault,Up to 3 months imprisonment or fine,Yes,Yes,Magistrate Court
121,Murder,Defines murder and prescribes punishments.,Murder,Death penalty or life imprisonment,Yes,No,Sessions Court
122,Culpable homicide,Defines culpable homicide not amounting to murder.,Culpable homicide,Up to life imprisonment,Yes,No,Sessions Court
123,Death by negligence,Punishes individuals whose negligence causes death.,Negligent homicide,Up to 2 years imprisonment or fine,Yes,Yes,Magistrate Court
124,Abetment of suicide,Punishes individuals who encourage or assist in suicide.,Abetment of suicide,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
125,Dowry death,Punishes individuals responsible for a womanâ€™s death due to dowry harassment.,Dowry death,Minimum 7 years to life imprisonment,Yes,No,Sessions Court
126,Causing miscarriage with intent to harm,Punishes individuals who cause miscarriage to harm a woman.,Miscarriage with intent to harm,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
127,Buying or disposing of minors for prostitution,Punishes individuals involved in child trafficking for prostitution.,Child trafficking,Minimum 10 years imprisonment and fine,Yes,No,Sessions Court
128,Kidnapping for ransom,Punishes individuals who kidnap with the intent to extort ransom.,Kidnapping for ransom,Life imprisonment or death penalty,Yes,No,Sessions Court
129,House trespass,Punishes individuals who unlawfully enter anotherâ€™s residence.,House trespass,Up to 2 years imprisonment or fine,Yes,Yes,Magistrate Court
130,Criminal breach of contract,Punishes individuals who fail to fulfill contractual obligations with criminal intent.,Breach of contract,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
131,False information,Punishes giving false information to public servants,False Information,Up to 6 months imprisonment or fine,No,Yes,Magistrate
132,Fabricating evidence,Punishes creating false evidence to mislead judicial proceedings,False Evidence,Up to 7 years imprisonment,Yes,No,Sessions
133,Obscene acts in public,Punishes obscene gestures or words in public places,Public Obscenity,Up to 3 months imprisonment or fine,No,Yes,Magistrate
134,Adultery,Punishes a man for having relations with another manâ€™s wife without consent,Adultery,Up to 5 years imprisonment or fine,No,Yes,Magistrate
135,Bigamy,Punishes a person marrying while already being married,Bigamy,Up to 7 years imprisonment and fine,Yes,No,Sessions
136,Cruelty by husband or relatives,Punishes cruelty towards a married woman,Domestic Cruelty,Up to 3 years imprisonment and fine,Yes,No,Magistrate
137,False evidence in court,Punishes those giving false evidence in a trial,Perjury,Up to 7 years imprisonment,Yes,No,Sessions
138,Bribing public officials,Punishes offering bribes to government officials,Bribery,Up to 7 years imprisonment and fine,Yes,No,Sessions
139,Public servant taking bribes,Punishes officials accepting bribes,Corruption,Up to 7 years imprisonment and fine,Yes,No,Sessions
140,Forgery for fraud,Punishes document forgery intended for cheating,Fraudulent Forgery,Up to 7 years imprisonment and fine,Yes,No,Sessions
141,Identity theft,Punishes impersonation or misuse of identity,Identity Theft,Up to 5 years imprisonment and fine,Yes,No,Sessions
142,Cyber fraud,Punishes fraudulent activities in digital spaces,Cybercrime,Up to 7 years imprisonment and fine,Yes,No,Sessions
143,Hacking,Punishes unauthorized access to digital systems,Hacking,Up to 10 years imprisonment and fine,Yes,No,Sessions
144,Online defamation,Punishes harming someoneâ€™s reputation online,Digital Defamation,Up to 2 years imprisonment and fine,No,Yes,Magistrate
145,Trade secret theft,Punishes stealing confidential business information,Trade Secret Theft,Up to 7 years imprisonment and fine,Yes,No,Sessions
146,Financial fraud,Punishes manipulating financial transactions for gain,Financial Fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions
147,Counterfeiting currency,Punishes producing or using fake currency,Counterfeit Currency,Up to life imprisonment,Yes,No,Sessions
148,Money laundering,Punishes concealment of illegally obtained money,Money Laundering,Up to 10 years imprisonment and fine,Yes,No,Sessions
149,Obstructing a public servant,Punishes interfering with official duties,Obstruction of Public Servant,Up to 3 years imprisonment and fine,Yes,No,Magistrate
150,Rioting,Punishes participation in violent group activities,Rioting,Up to 2 years imprisonment and fine,Yes,Yes,Magistrate
151,Obstructing a public servant,Punishes individuals who obstruct government officials in duty.,Obstruction of public servant,Up to 3 years imprisonment or fine,Yes,No,Magistrate Court
152,Giving false information,Punishes individuals who knowingly provide false information to authorities.,False information,Up to 2 years imprisonment or fine,Yes,Yes,Magistrate Court
153,Escape from lawful custody,Punishes individuals who escape from lawful custody.,Prison escape,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
154,Rioting,Defines rioting and prescribes punishments.,Rioting,Up to 3 years imprisonment or fine,Yes,No,Magistrate Court
155,Unlawful assembly,Punishes individuals who participate in unlawful gatherings.,Unlawful assembly,Up to 6 months imprisonment or fine,Yes,Yes,Magistrate Court
156,Criminal conspiracy against the state,Punishes those who conspire against the government.,Criminal conspiracy,Up to life imprisonment,Yes,No,Sessions Court
157,Sedition,Punishes acts that incite violence against the state.,Sedition,Up to life imprisonment,Yes,No,Sessions Court
158,Waging war against the state,Punishes individuals who wage war against the government.,Waging war,Death penalty or life imprisonment,Yes,No,Sessions Court
159,Treason,Punishes acts of betrayal against the country.,Treason,Death penalty or life imprisonment,Yes,No,Sessions Court
160,Spying against the state,Punishes individuals who engage in espionage.,Espionage,Up to 14 years imprisonment,Yes,No,Sessions Court
161,Bribery,Punishes both those who give and accept bribes.,Bribery,Up to 7 years imprisonment or fine,Yes,No,Sessions Court
162,Misuse of official position,Punishes public officials who abuse their power.,Abuse of power,Up to 5 years imprisonment or fine,Yes,No,Sessions Court
163,Counterfeiting government documents,Punishes the creation of fake government-issued documents.,Document forgery,Up to 10 years imprisonment,Yes,No,Sessions Court
164,Offences related to elections,"Punishes election fraud, rigging, and bribery.",Election fraud,Up to 3 years imprisonment or fine,Yes,No,Magistrate Court
165,Publishing fake news,Punishes individuals who spread false information that causes public unrest.,Fake news,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
166,Disrespect to the national flag,Punishes acts of disrespect to the national flag and anthem.,Insulting national symbols,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
167,Obstruction of justice,Punishes individuals who interfere with the judicial process.,Obstructing justice,Up to 7 years imprisonment or fine,Yes,No,Sessions Court
168,Tampering with evidence,Punishes individuals who destroy or alter evidence.,Evidence tampering,Up to 7 years imprisonment or fine,Yes,No,Sessions Court
169,Giving false testimony,Punishes individuals who lie under oath.,Perjury,Up to 7 years imprisonment,Yes,No,Sessions Court
170,Influencing a judicial officer,Punishes individuals who attempt to influence judges or lawyers.,Judicial interference,Up to 5 years imprisonment,Yes,No,Sessions Court
171,Criminal breach of contract,Punishes those who dishonestly violate contractual agreements.,Breach of contract,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
172,Corporate fraud,Punishes fraudulent activities committed by corporations.,Corporate fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
173,Cybercrime,"Punishes digital crimes such as hacking, identity theft, and phishing.",Cybercrime,Up to 7 years imprisonment or fine,Yes,No,Sessions Court
174,Defacement of public property,Punishes individuals who damage or deface public property.,Defacement,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
175,Criminal intimidation of witnesses,Punishes individuals who threaten witnesses in legal proceedings.,Witness intimidation,Up to 7 years imprisonment,Yes,No,Sessions Court
176,Illegal possession of firearms,Punishes unauthorized possession of weapons.,Illegal firearms possession,Up to 10 years imprisonment,Yes,No,Sessions Court
177,Terrorist activities,Punishes involvement in terrorism or aiding terrorists.,Terrorism,Death penalty or life imprisonment,Yes,No,Sessions Court
178,Funding terrorist activities,Punishes individuals who finance terrorist operations.,Terrorist financing,Life imprisonment,Yes,No,Sessions Court
179,Human rights violations,Punishes individuals or officials involved in human rights abuses.,Human rights abuse,Up to life imprisonment,Yes,No,Sessions Court
180,Domestic violence,"Punishes physical, emotional, or economic abuse within a household.",Domestic violence,Up to 3 years imprisonment or fine,Yes,No,Magistrate Court
181,Child labor exploitation,Punishes those who employ children in hazardous work.,Child labor,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
182,Environmental pollution,Punishes acts that cause severe environmental damage.,Pollution,Up to 5 years imprisonment or fine,Yes,No,Sessions Court
183,Illegal mining,Punishes unauthorized extraction of minerals.,Illegal mining,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
184,Human trafficking for forced labor,Punishes trafficking of people for forced labor.,Forced labor trafficking,Minimum 10 years imprisonment and fine,Yes,No,Sessions Court
185,Begging racket involvement,Punishes individuals who force others into begging.,Begging racket,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
186,Sexual exploitation,Punishes individuals involved in sexual exploitation and abuse.,Sexual exploitation,Up to life imprisonment,Yes,No,Sessions Court
187,Pornography distribution,Punishes those who distribute or create pornographic content involving minors.,Child pornography,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
188,Blackmail and extortion,Punishes individuals who obtain money or favors through threats.,Extortion,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
189,Fraudulent financial activities,Punishes fraudulent activities such as Ponzi schemes.,Financial fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
190,Misleading advertisements,Punishes false advertisements that mislead consumers.,False advertising,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
191,Illegal drug trafficking,Punishes individuals involved in the smuggling and sale of drugs.,Drug trafficking,Minimum 10 years to life imprisonment,Yes,No,Sessions Court
192,Possession of illegal drugs,Punishes individuals caught in possession of banned narcotics.,Drug possession,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
193,Violence against healthcare workers,"Punishes individuals who assault doctors, nurses, or medical staff.",Assault on healthcare workers,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
194,Smuggling of arms and ammunition,Punishes individuals involved in illegal arms trade.,Arms smuggling,Up to life imprisonment,Yes,No,Sessions Court
195,Destruction of historical monuments,Punishes acts of vandalism against heritage sites.,Heritage vandalism,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
196,Impersonation of a public servant,Punishes individuals who falsely claim to be a government official.,Impersonation,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
197,Forgery of academic certificates,Punishes individuals who create or use fake educational degrees.,Certificate forgery,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
198,False complaints to police,Punishes individuals who deliberately file false police reports.,False reporting,Up to 2 years imprisonment or fine,Yes,Yes,Magistrate Court
199,Hoarding and profiteering,Punishes illegal hoarding of essential commodities to manipulate prices.,Hoarding,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
200,Deliberate spreading of disease,Punishes individuals who knowingly spread infectious diseases.,Spreading disease,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
201,Tampering with food or drink,Punishes individuals who contaminate food or drinks with harmful substances.,Food tampering,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
202,Adulteration of drugs,Punishes those who manufacture or sell adulterated medicines.,Drug adulteration,Up to life imprisonment and fine,Yes,No,Sessions Court
203,Manufacturing fake medicines,Punishes individuals involved in producing counterfeit drugs.,Fake medicines,Up to life imprisonment and fine,Yes,No,Sessions Court
204,Cheating in government exams,Punishes those who commit fraud in public examinations.,Exam fraud,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
205,Illegal animal poaching,Punishes those who engage in hunting protected species.,Animal poaching,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
206,Illegal deforestation,Punishes unauthorized cutting of trees in protected areas.,Deforestation,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
207,Smuggling of rare wildlife,Punishes the illegal trade of endangered animals.,Wildlife smuggling,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
208,Theft of government property,Punishes theft or destruction of public infrastructure.,Theft of public property,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
209,Tampering with railway tracks,Punishes acts that endanger railway safety.,Railway sabotage,Up to life imprisonment,Yes,No,Sessions Court
